date,MW
2016/6/9 8:00,782.1568889
2016/6/9 9:00,692.2496
2016/6/9 10:00,669.2088
2016/6/9 11:00,653.1058
2016/6/9 12:00,637.6882
2016/6/9 13:00,644.0268
2016/6/9 14:00,644.1127
2016/6/9 15:00,648.138
2016/6/9 16:00,664.7548
2016/6/9 17:00,673.6628
2016/6/9 18:00,665.0972
2016/6/9 19:00,661.8424
2016/6/9 20:00,702.8706
2016/6/9 21:00,739.0161
2016/6/9 22:00,759.4015
2016/6/9 23:00,691.8211
2016/6/10 0:00,735.4187
2016/6/10 1:00,779.3586
2016/6/10 2:00,772.6777
2016/6/10 3:00,761.6284
2016/6/10 4:00,758.2881
2016/6/10 5:00,821.6714
2016/6/10 6:00,833.4914
2016/6/10 7:00,826.3823
2016/6/10 8:00,789.8941
2016/6/10 9:00,803.0847
2016/6/10 10:00,848.3097
2016/6/10 11:00,847.2819
2016/6/10 12:00,830.0656
2016/6/10 13:00,897.7316
2016/6/10 14:00,826.5538
2016/6/10 15:00,832.7207
2016/6/10 16:00,857.9028
2016/6/10 17:00,855.1618
2016/6/10 18:00,834.2625
2016/6/10 19:00,862.4423
2016/6/10 20:00,905.3546
2016/6/10 21:00,871.3503
2016/6/10 22:00,828.4382
2016/6/10 23:00,743.8126
