D1,D2,MW,ZN
-54.69747905,9.490614695,838.9735,0
-126.0913299,11.23648663,837.6886,0
-126.9467396,22.19680068,835.2902,0
-134.4616597,-1.3011144,833.9199,0
-82.40107966,-36.38646816,827.1533,0
-86.98899589,-26.49513703,824.4981,0
-50.2705815,-8.31407717,816.6181,0
-78.6755233,-20.25223494,818.2455,0
-51.37316963,-6.169584431,815.3335,0
-37.74327978,-6.60500206,814.1342,0
9.621426571,-23.42145325,806.5109,0
-9.547249093,-16.22337094,807.3674,0
-4.503781608,-26.27071791,802.8278,0
45.04283922,-7.296946094,800.1726,0
17.77876956,-37.47449907,800.4295,0
-10.32624911,-3.886227257,806.3398,0
46.38537452,-0.835640418,801.3717,0
51.52528734,16.54728362,799.9156,0
22.78906029,24.80712163,804.1127,0
30.33127619,2.380786722,802.8278,0
52.88265847,19.77182467,805.2261,0
64.55182246,11.03118073,806.6822,0
8.370947111,-21.47929592,808.6522,0
10.50998766,2.060612038,813.8772,0
-126.8459485,-0.376530932,833.8344,0
297.2331275,-23.36488719,736.7892,0
225.1690964,84.10596599,790.7507,0
-114.4210738,69.67346128,849.5087,0
-55.63850586,49.98497216,856.9606,0
50.56203553,6.884237123,830.4939,0
290.5425489,8.953183071,780.7292,0
332.1386365,64.8908715,746.2109,0
291.8204342,-64.91618695,786.4681,0
148.0942829,11.84641173,802.3995,0
190.9140002,44.88516402,790.7506,0
226.6570594,49.41257482,787.4101,0
336.3685019,66.89563413,769.5086,0
289.3871191,70.50605964,794.6906,0
134.9911706,120.0844123,823.1277,0
95.14978184,155.6846267,844.7978,0
45.38121704,169.5560056,855.333,0
0.788633724,175.0669541,860.815,0
49.3303049,174.1322922,856.4466,0
94.0770272,150.7589732,848.5667,0
162.641591,177.6101953,832.1211,0
159.369843,181.5095892,831.3503,0
225.4868317,163.5199165,820.5581,0
300.5690457,126.5806879,804.4552,0
303.2229651,141.1927254,783.8128,0
182.8178299,179.2223757,812.4209,0
93.6006264,210.1097044,834.3481,0
95.49146668,173.498561,838.4593,0
99.22813389,122.732591,838.2024,0
156.4547015,74.71012521,839.4016,0
164.893944,85.07326135,841.372,0
102.6560066,130.2591885,851.9926,0
25.124427,150.561361,864.6695,0
30.75883222,150.0250547,866.8963,0
62.06320441,138.0595373,866.5536,0
99.98976749,131.0465311,867.239,0
101.0948413,129.0346766,865.0975,0
36.52260284,178.0719761,873.3203,0
-84.47127873,141.4897785,876.0612,0
37.83687437,23.81286262,828.7807,0
107.4527957,111.86453,812.5924,0
144.7903545,99.3963913,813.7059,0
108.7317878,66.30125524,816.1042,0
86.08087193,69.52373951,820.0443,0
50.42983854,42.54007102,823.2133,0
120.2758688,36.10287803,809.8515,0
