date,HHA11AS001XQ01,HHA12AS001XQ01,HHA13AS001XQ01,HHA14AS001XQ01,HHA31AS001XQ01,HHA32AS001XQ01,HHA33AS001XQ01,HHA34AS001XQ01,HHA71AS001XQ01,HHA72AS001XQ01,HHA73AS001XQ01,HHA74AS001XQ01,HHA81AS001XQ01,HHA82AS001XQ01,HHA83AS001XQ01,HHA84AS001XQ01,HHA51AS001XQ01,HHA52AS001XQ01,HHA53AS001XQ01,HHA54AS001XQ01,HNA00AA001AXQ01,HNA00AA001BXQ01,HNA00AA002AXQ01,HNA00AA002BXQ01,YRHRPRS,YRHRTEMPT,RRHRPRS,RRHRTEMPT,LAF01CG101XQ01,LAF02CG101XQ01,LAF11CG101XQ01,LAF12CG101XQ01,LAF13CG101XQ01,LAF14CG101XQ01,LAF21CG101XQ01,LAF22CG101XQ01,LAF31CG101XQ01,LAF32CG101XQ01,LAF33CG101XQ01,LAF34CG101XQ01,LAB80CT101,LBC21CT101,LBC21CP101,LBC51CP101,LBC51CT101,MW,MWD2,MSP,MSPS,THRTEMP,A02P003G,A02P004G,PAB10CT101,PAB10CT102,PAB20CT101,PAB20CT102,NOM,LAE11CG101XQ01,LAE12CG101XQ01,LAE13CG101XQ01,LAE14CG101XQ01,LAE21CG101XQ01,LAE22CG101XQ01,LAE23CG101XQ01,LAE24CG101XQ01,BMOUT,FWFLOW,A09M210SHH,TOTALCOAL,TAF,O2,SELFP1,A017P005
2016/6/3 11:50,80,80,80,80,80,80,80,80,65,65,65,65,65,65,65,65,80,80,80,80,66,66,100,100,6.89789,587.4499,2.27335,592.3926,0.213675,0.091576,0.4578751,0.091576,0,0.891332,0.457875,0.824176,0.091576,0.1282054,0.6043956,1.61783,289.9261,426.1103,6.790122,2.149181,421.0254,638.802,638.4619,21.64776,21.35958,600.7866,175690.3,7509.13,22.1814,22.1299,22.09904,22.11448,5,34.06595,17.75335,34.01713,19.24296,1.550675,28.53483,28.1868,28.19292,654.2377,1624.147,2890.695,284.956,2433.867,3.821475,0,149.451
2016/6/3 12:00,80,80,80,80,80,80,80,80,65,65,65,65,65,65,65,65,80,80,80,80,80,80,100,100,6.89789,585.6267,2.27335,593.5155,0.201465,0.091576,0.409035,0.091576,0,0.9401732,0.457875,0.824176,0.091576,0.1343103,0.579976,1.61783,291.2462,426.043,7.036518,2.216048,419.4589,661.1574,661.2868,21.89193,21.77771,598.8775,175699,7509.13,22.1814,22.13248,22.10162,22.12733,5,19.789384,16.043949,19.6886617,17.521374,2.735045,10.43956,13.37606,89.8535,681.186,1710.506,2868.12,308.4747,2554.135,3.527884,0,148.8489
2016/6/3 12:10,83,83,83,83,83,83,83,83,65,65,65,65,65,65,65,65,83,83,83,83,96,96,87.2,87.2,6.89789,587.7445,2.27335,594.1115,0.201465,0.091576,0.3540907,0.091576,0,0.9768035,0.457875,0.824176,0.091576,0.1465201,0.579976,1.61783,293.0176,425.0225,7.141853,2.262456,420.0256,672.3779,671.5198,22.2796,22.37834,598.1311,175707.8,7509.13,22.1943,22.15308,22.1042,22.12733,5,2.646521,5.470089,2.457261,5.59218,5.006099,3.32723,7.637366,98.41882,690.1603,1712.534,2857.904,306.0637,2595.035,3.048077,0,145.6373
2016/6/3 12:20,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,100,100,84,84,6.998165,592.2269,2.27335,595.334,0.20757,0.091576,0.3785103,0.091576,0,0.9951194,0.45177,0.824176,0.091576,0.1404152,0.579976,1.61783,294.2687,427.71,7.508243,2.341841,422.446,703.9838,709.9706,22.93527,22.93599,602.3731,175716.4,7509.13,22.19172,22.15569,22.1042,22.1299,5,3.376066,9.212446,3.076916,9.609272,20.231983,10.280833,26.67889,96.83152,734.3092,1881.475,2834.526,343.4432,2746.646,3.280448,0,143.419
2016/6/3 12:30,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,78,78,93.6,93.6,7.90064,603.2145,2.27335,598.4273,0.19536,0.091576,3.6507931,4.9938874,8.269229,1.7216144,0.457875,0.824176,0.091576,0.1343103,1.874238,1.61783,303.0852,424.8007,8.647715,2.688996,426.8836,803.513,801.1222,25.85531,25.97455,596.863,175725.1,7509.13,22.20204,22.15827,22.1042,22.1299,6,1.947497,1.9475,1.636142,1.440785,3.052505,18.473757,25.586087,32.277163,829.1942,2112.337,2754.752,371.0592,3129.112,2.371474,0.03876676,143.419
2016/6/3 12:40,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,72,72,100,100,8.100732,604.3554,2.27335,602.1483,0.18315,0.091576,0.4945053,13.229532,15.018314,2.002445,0.457875,0.8302811,0.091576,0.1343103,1.1050072,1.61783,305.7505,421.4919,8.886785,2.786089,432.8749,829.1233,829.8279,27.13859,27.07095,594.0827,175733.9,7509.13,22.20462,22.17369,22.1042,22.1299,6,0.781441,1.868135,1.1233217,1.39805,1.25153,25.775349,17.832725,3.04639726,847.1907,2183.604,2832.15,357.6702,3134.745,3.12468,0,141.8158
2016/6/3 12:50,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,80,80,100,100,8.9011,595.9813,2.27335,602.1394,0.18315,0.091576,0.3846152,0.9279618,2.7655692,1.746035,0.457875,0.8302811,0.091576,0.1343103,0.579976,1.61783,306.8038,417.463,9.046167,2.852957,427.8083,842.7421,846.5001,27.24174,27.85911,587.6615,175742.6,7509.13,22.21752,22.17112,22.11448,22.13764,6,0,1.86203,0,1.123324,1.25153,3.272285,1.648355,0.3663003,877.594,2243.955,2791.848,380.2779,3206.197,3.479487,0,141.415
2016/6/3 13:00,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,96,96,100,100,8.9011,595.2352,2.27335,601.8916,0.17094,0.091576,0.3663005,0.091576,0,1.538465,0.457875,0.8363862,0.091576,0.1037858,0.579976,1.61783,306.8774,416.447,9.118525,2.871582,425.4468,850.451,852.4533,27.48352,27.95757,590.1828,175751.2,7509.13,22.21752,22.17112,22.11448,22.14022,6,0,1.831505,0,1.12943,1.25153,3.20513,1.892555,0.3632485,887.6747,2270.668,2784.143,394.9755,3234.284,3.095192,0,141.415
2016/6/3 13:10,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,93.6,93.6,100,100,8.9011,599.7159,2.27335,601.8094,0.17094,0.091576,0.4517706,1.520147,0.45482362,1.440785,0.457875,0.8363862,0.091576,0.1037858,0.579976,1.61783,307.7394,420.159,9.189056,2.886848,427.5491,858.9307,857.4026,28.05922,28.19798,596.9086,175760.1,7509.13,22.20978,22.17112,22.1042,22.1299,6,0,1.807085,0,1.11722,1.30037,8.217328,8.492066,9.4932822,888.1111,2272.077,2782.671,394.7096,3272.026,2.841026,0,141.415
2016/6/3 13:20,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,92,92,100,100,8.9011,603.8974,2.27335,602.6928,0.201465,0.091576,0.4273514,7.509155,0.06105028,1.428575,0.4700852,0.8302811,0.091576,0.091576,0.579976,1.61783,308.1708,422.3565,9.225696,2.893563,431.148,861.8428,862.0082,28.57937,28.2772,600.1138,175769,7509.13,22.21752,22.17112,22.11191,22.13506,6,0.836386,2.14286,0.827229,1.8315,1.98413,40.47619,33.10746,49.04152,884.1779,2256.115,2812.438,386.5049,3257.425,2.93814,0.00366298,141.415
